"","subj","trialNo","stimNo","focNo","verbNo","con","foc","verb","quesCode.art.1","quesCode.art.2","quesCode.noun.1","quesCode.noun.2","resp.art","resp.noun","respCode.art","respCode.noun","TMS","sess.no","RT","accur","decision","accur.code"
"2","1",2,67,2,66,"syntax","object","66",1,1,1,2,"acc","Patient",1,2,"sham",3,559.5,"correct","article",1
"5","1",5,46,2,45,"syntax","object","45",1,1,1,2,"acc","Patient",1,2,"sham",3,588.4,"correct","article",1
"7","1",7,21,1,21,"syntax","subject","21",1,2,1,2,"nom","Agent",1,1,"sham",3,639.7,"correct","article",1
"9","1",9,48,2,47,"syntax","object","47",1,2,1,2,"acc","Patient",2,2,"sham",3,646.1,"correct","article",1
"11","1",11,64,1,64,"syntax","subject","64",1,1,1,1,"nom","Agent",2,2,"sham",3,765.4,"correct","article",1
"12","1",12,8,2,7,"syntax","object","7",1,2,1,2,"acc","Patient",2,2,"sham",3,740.4,"correct","article",1
"15","1",15,31,1,31,"syntax","subject","31",1,2,1,2,"nom","Agent",1,1,"sham",3,596.1,"correct","article",1
"18","1",18,3,1,3,"syntax","subject","3",1,2,1,1,"nom","Agent",1,2,"sham",3,776.2,"correct","article",1
"21","1",21,9,2,8,"syntax","object","8",1,1,1,1,"acc","Patient",1,1,"sham",3,608.4,"correct","article",1
"23","1",23,10,1,10,"syntax","subject","10",1,2,1,1,"nom","Agent",1,2,"sham",3,573,"correct","article",1
"25","1",25,27,2,26,"syntax","object","26",1,1,1,1,"acc","Patient",1,1,"sham",3,634,"correct","article",1
"26","1",26,38,1,38,"syntax","subject","38",1,2,1,1,"nom","Patient",1,1,"sham",3,559.3,"correct","article",1
"28","1",28,47,2,46,"syntax","object","46",1,2,1,1,"acc","Patient",2,1,"sham",3,913.4,"correct","article",1
"30","1",30,28,2,27,"syntax","object","27",1,1,1,2,"acc","Patient",1,2,"sham",3,774.1,"correct","article",1
"33","1",33,9,1,9,"syntax","subject","9",1,1,1,2,"nom","Agent",2,1,"sham",3,786.4,"correct","article",1
